Date, TIME_GPS, Altitude, Latitude, Longitude, CH4_dry
1/18/2013,73583,301.3394897,37.39095823,-120.7347937,4.144169211
1/18/2013,73587,303.2567226,37.39114383,-120.7400562,3.986145656
1/8/2016,75403,759.256,34.29531,-118.573,3.981266
1/18/2013,73580,299.5448634,37.39079625,-120.730465,3.769390624
1/18/2013,73615,294.8885179,37.39260475,-120.7787971,3.654922045
1/18/2013,73599,302.925376,37.39168491,-120.7564982,3.642031282
1/18/2013,73612,299.2103231,37.39237048,-120.7744172,3.631353349
1/18/2013,73578,297.8252238,37.39063395,-120.7265514,3.629816892
1/18/2013,73608,301.7223084,37.39215892,-120.7698281,3.490666541
11/10/2014,79281,236.2464,37.0589,-120.442,3.472003
1/8/2016,75082,694.2003,34.32396,-118.511,3.465053
1/18/2013,73315,265.3081796,37.27023755,-120.7550555,3.431284383
1/18/2013,73335,253.9848715,37.28400007,-120.730911,3.338546185
1/18/2013,73320,271.7071774,37.27330793,-120.7493733,3.316641951
1/18/2013,73280,259.0567684,37.24741915,-120.7983446,3.315663975
1/18/2013,73283,261.2266384,37.24965085,-120.794144,3.284142147
1/18/2013,73651,269.1960491,37.39582431,-120.8318584,3.268539677
1/22/2013,75705,248.7471696,37.96037155,-121.3573523,3.215627853
1/18/2013,72097,263.5042626,36.99112319,-120.3632202,3.215082309
1/18/2013,73660,269.5878538,37.39651775,-120.8456284,3.214562251
1/18/2013,71402,271.3641557,37.33690385,-120.529352,3.210729339
1/18/2013,73287,258.8335543,37.25235671,-120.7890351,3.203804299
1/18/2013,72071,250.8349689,36.99454612,-120.3251432,3.177895515
1/18/2013,71405,239.1570406,37.3397098,-120.5301738,3.161907237
1/18/2013,73618,289.6100691,37.39288724,-120.7834184,3.148042892
1/8/2016,75526,750.4822,34.28124,-118.567,3.143569
1/18/2013,73323,276.3399654,37.27556386,-120.7453526,3.130233629
11/10/2014,79278,232.9129,37.05864,-120.438,3.112591
1/18/2013,73306,272.4730573,37.26423987,-120.7664508,3.104134623
11/10/2014,79948,249.0544,37.3308,-120.833,3.102562
1/18/2013,73310,266.5013107,37.26698002,-120.7612521,3.09888896
1/18/2013,73275,262.8929474,37.24405656,-120.8047829,3.088694998
1/18/2013,73339,251.1683652,37.28673665,-120.7263681,3.087575564
1/18/2013,71795,258.0530552,37.13165401,-120.2692408,3.081468139
1/18/2013,73696,271.808235,37.39902773,-120.8969115,3.080977273
1/18/2013,73269,272.0640728,37.24060759,-120.811527,3.080694484
1/18/2013,73558,304.6747259,37.38966969,-120.6974986,3.058997639
1/8/2016,75391,767.8566,34.30098,-118.589,3.053467
11/10/2014,79951,243.7919,37.33113,-120.837,3.05158
1/18/2013,73692,271.9154169,37.3987434,-120.8919649,3.05056584
11/10/2014,79284,238.5666,37.05916,-120.446,3.041978
1/18/2013,73344,258.8271375,37.29046551,-120.7202974,3.036218624
1/18/2013,71408,207.5184622,37.34310143,-120.5316349,3.032565115
1/22/2013,75766,276.5895291,37.91742535,-121.4343328,3.027782346
1/18/2013,73401,294.9731548,37.33194261,-120.6538513,3.027313642
1/18/2013,73351,268.6977621,37.29578301,-120.711872,3.012096372
1/22/2013,75770,284.9144444,37.91510481,-121.4388978,3.007401122
1/18/2013,73592,304.1011456,37.39137421,-120.7472672,3.005934398
1/22/2013,75748,271.8067249,37.92975556,-121.4101593,3.00401872
11/26/2012,70471,49.47356752,37.35798977,-120.5450159,2.99590755
1/22/2013,75762,271.0026076,37.92013043,-121.428939,2.994648973
1/22/2013,75709,248.7493974,37.95725336,-121.3616528,2.993633427
1/18/2013,73468,205.5086252,37.37959818,-120.5782834,2.993170863
1/22/2013,75740,273.1632511,37.93509201,-121.4002923,2.988204527
1/18/2013,73413,281.9602062,37.34017722,-120.6395164,2.981119242
1/18/2013,72116,259.4838525,36.98963666,-120.3913397,2.980393351
1/18/2013,73298,285.4472888,37.25905702,-120.7761763,2.979434917
1/8/2016,75523,742.1622,34.28151,-118.563,2.977447
11/26/2012,70468,55.57433258,37.3556343,-120.5426204,2.972362081
1/22/2013,74612,280.8301756,37.4756401,-120.7596984,2.972294157
1/22/2013,75756,266.2121354,37.9244219,-121.420437,2.972182244
1/18/2013,73293,271.9368906,37.25578079,-120.7824874,2.966935602
1/18/2013,73553,307.8920038,37.38948287,-120.6905934,2.965578488
1/22/2013,74546,281.2967454,37.50619577,-120.7304571,2.960170974
1/22/2013,75744,274.9260971,37.93213172,-121.4057348,2.960108117
1/18/2013,73636,274.7475944,37.39460318,-120.8098502,2.956335204
1/18/2013,74191,265.2290384,37.46761758,-121.0502459,2.955249125
1/22/2013,74513,283.3044323,37.52686202,-120.7714769,2.952445961
1/22/2013,75751,268.0451457,37.92733984,-121.4147561,2.945195861
1/22/2013,74525,284.0877095,37.51988359,-120.7576871,2.943015032
1/18/2013,71412,187.3282211,37.34621813,-120.5335534,2.941374948
1/8/2016,75534,754.2132,34.28053,-118.579,2.932696
1/22/2013,75807,265.4151271,37.89063234,-121.4877179,2.930393149
1/18/2013,73227,259.7837379,37.21321675,-120.8620425,2.925347738
1/18/2013,72067,242.1718486,36.99511854,-120.3199763,2.924275799
1/22/2013,75800,269.2374556,37.89488301,-121.4782392,2.921448355
1/18/2013,73223,260.7457903,37.21066359,-120.8665726,2.921183498
1/18/2013,73218,272.4883992,37.20755605,-120.8721394,2.920268536
1/18/2013,73239,283.9735452,37.22098583,-120.8483511,2.91802246
1/22/2013,74269,261.8151365,37.52722247,-121.0221601,2.917271418
1/22/2013,75701,250.8582212,37.96412664,-121.3526316,2.917090542
1/18/2013,73632,277.8917731,37.39423733,-120.8041489,2.916199189
1/22/2013,75804,267.2216999,37.89257784,-121.4830836,2.916061249
1/22/2013,74569,267.0220697,37.49133194,-120.7036525,2.915671842
1/22/2013,73854,267.7145439,37.37701128,-120.6356036,2.913210653
1/18/2013,73480,135.6672119,37.38930322,-120.5850149,2.913151966
1/18/2013,73235,278.3334309,37.21884898,-120.852163,2.908254769
1/18/2013,73264,278.6518444,37.237449,-120.8176783,2.905893528
11/10/2014,79275,228.0474,37.05837,-120.433,2.903605
1/18/2013,73483,138.681782,37.38788352,-120.5907049,2.900420668
1/22/2013,74691,275.9285202,37.45640006,-120.8734021,2.900073571
1/18/2013,72086,268.3163623,36.99232695,-120.3472397,2.89984948
1/18/2013,73356,273.9449693,37.29962512,-120.7059837,2.897070321
1/18/2013,73419,263.9114519,37.34454413,-120.6320773,2.894740237
1/22/2013,73851,269.6992922,37.37668126,-120.6310136,2.894565302
1/18/2013,73459,212.5002048,37.37276903,-120.5877412,2.892764094
1/4/2013,70928,78.26052053,37.39416902,-120.5846087,2.890535888
1/22/2013,74073,249.8792839,37.39832886,-120.9554462,2.889233151
1/22/2013,73815,272.7002529,37.37263554,-120.579122,2.885243972
1/22/2013,74077,244.7770162,37.39877508,-120.9616754,2.884074876
1/22/2013,75697,254.9334136,37.96730322,-121.3487989,2.882742106
1/18/2013,71468,30.04793715,37.38992888,-120.5778364,2.880998972
1/18/2013,72108,260.6663651,36.99024595,-120.3798371,2.880752493
1/22/2013,74535,279.8708929,37.51304746,-120.74419,2.877479533
1/18/2013,72119,257.1373625,36.98933415,-120.3963881,2.876885793
1/22/2013,75815,265.0891247,37.88655535,-121.4985575,2.876372105
1/18/2013,73596,305.0353161,37.39153268,-120.7520448,2.876295256
1/22/2013,75811,264.0086499,37.88830138,-121.4938424,2.875003862
1/18/2013,73258,291.2478049,37.23318822,-120.8258062,2.874834376
1/22/2013,73879,254.3829316,37.37972236,-120.6715845,2.874108156
1/22/2013,74763,262.3237496,37.43750037,-120.9757231,2.873482826
1/22/2013,74602,274.3314808,37.47822018,-120.7459961,2.872330377
1/18/2013,73416,270.2758274,37.34261312,-120.6353359,2.871285394
1/18/2013,73242,287.706489,37.22334559,-120.8441189,2.870270426
1/22/2013,74708,279.1287632,37.45202875,-120.8981293,2.869407123
1/22/2013,75819,267.6676247,37.88428758,-121.5047627,2.8661285
1/22/2013,75693,255.5415378,37.97112848,-121.3441807,2.86386604
1/4/2013,70931,60.66206531,37.3926464,-120.5816025,2.863639633
1/18/2013,71438,36.4996478,37.36603921,-120.5535343,2.862441573
1/22/2013,73868,260.028213,37.37857491,-120.6560054,2.862142391
1/22/2013,74517,285.5928606,37.52447704,-120.7667105,2.860000599
1/22/2013,74557,280.0631144,37.49939652,-120.7170148,2.859716748
1/18/2013,73410,287.5654491,37.33797494,-120.6433586,2.858665456
1/22/2013,73818,267.5196254,37.37308256,-120.5837067,2.85809464
1/22/2013,74771,259.0991436,37.43542373,-120.9861603,2.85677314
1/22/2013,74539,281.0505828,37.51093063,-120.7399415,2.853687843
1/4/2013,70925,97.81536712,37.3961766,-120.5881812,2.852397581
1/22/2013,74583,147.1199495,37.48239165,-120.7167622,2.85145929
1/22/2013,74667,276.165759,37.46147551,-120.8385138,2.851361112
1/22/2013,75784,301.152034,37.90564741,-121.4576118,2.84968254
1/18/2013,71435,44.96006406,37.36375602,-120.5511968,2.849327075
1/22/2013,74531,274.8356397,37.51573745,-120.7495018,2.849317471
1/22/2013,73766,284.3737134,37.33841526,-120.524817,2.847795207
2/4/2013,84309,-21.7381879,38.14627603,-122.5591647,2.847758912
1/18/2013,73423,259.2676149,37.34692744,-120.6281101,2.847674417
1/22/2013,75796,274.7190594,37.89771864,-121.4728378,2.847583944
1/22/2013,74006,266.8897826,37.39255257,-120.857848,2.846373215
1/4/2013,70934,50.20879934,37.39097038,-120.5790192,2.845463701
1/18/2013,73450,242.251278,37.36607705,-120.5978684,2.843485975
1/18/2013,73476,167.9082612,37.38761181,-120.5780709,2.841023893
1/22/2013,73843,270.3866313,37.3759629,-120.6199853,2.840343574
1/18/2013,71875,270.5804485,37.06332166,-120.1934183,2.839477953
1/8/2016,75223,673.8777,34.27154,-118.565,2.839219
1/4/2013,70944,38.29336703,37.38239607,-120.5701742,2.837755757
1/22/2013,73458,263.7095743,37.07406153,-120.2133349,2.837066438
1/18/2013,73487,168.5265074,37.38770065,-120.5964517,2.836973457
1/22/2013,74760,264.5386031,37.43859688,-120.9701991,2.836815788
1/4/2013,70921,110.8920702,37.39843522,-120.5908355,2.836750159
1/18/2013,71668,289.155891,37.24615693,-120.3930237,2.836130015
1/22/2013,75777,304.4662923,37.91042932,-121.4480987,2.835995303
1/22/2013,74070,251.9075404,37.39798019,-120.9505462,2.835896796
11/10/2014,79272,229.0392,37.05808,-120.429,2.835836
1/4/2013,70941,40.03968839,37.3850896,-120.5728901,2.835717734
11/26/2012,70474,46.44035872,37.35988378,-120.5470914,2.835603983
1/22/2013,74694,275.5635641,37.45558851,-120.8780495,2.834856094
1/18/2013,73213,285.2223607,37.20426534,-120.8781418,2.83400407
1/4/2013,70937,44.5117189,37.3883159,-120.5761029,2.833638384
1/22/2013,73995,266.770359,37.39177978,-120.8420599,2.833026831
